
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
10-0057                          C2                                 3   1      1   1   1 1           1 0 XSIG011302          (4122-17-13)
10-0057                          C2                                 3   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C3                                 4   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C3                                 4   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C4                                 6   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C4                                 6   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0057                          C5                                 5   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0057                          C5                                 5   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C6                                10   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C6                                10   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C7                                11   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0058                          C7                                11   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C8                                 8   1      1   1   1 1           1 0 XSIG011288          (4122-11-13)
10-0058                          C8                                 8   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0058                          C9                                 9   1      1   1   1 1           1 0 XSIG011289          (4122-12-13)
10-0058                          C9                                 9   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0067                          C12                               14   1      1   1   1 1           1 0 XSIG011287          (4122-10-13)
10-0067                          C12                               14   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C16                               27   1      1   1   1 1           1 0 XSIG011327          (4122-20-13)
10-0096                          C16                               27   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C17                               26   1      1   1   1 1           1 0 XSIG011329          (4122-21-13)
10-0096                          C17                               26   1      2   1   1 2           2 0 GND                 (43-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
10-0096                          C18                               25   1      1   1   1 1           1 0 XSIG011321          (4122-18-13)
10-0096                          C18                               25   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C19                               24   1      1   1   1 1           1 0 XSIG011323          (4122-19-13)
10-0096                          C19                               24   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C20                               29   1      1   1   1 1           1 0 XSIG011338          (4122-22-13)
10-0096                          C20                               29   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0096                          C21                               28   1      1   1   1 1           1 0 XSIG011340          (4122-23-13)
10-0096                          C21                               28   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C10                               48   1      1   1   1 1           1 0 VBAT                (4122-29-13)
10-0106                          C10                               48   1      2   1   1 2           2 0 GND                 (43-1-13)
10-0106                          C11                               49   1      1   1   1 1           1 0 VCC                 (43-2-13)
10-0106                          C11                               49   1      2   1   1 2           2 0 GND                 (43-1-13)
20-0004                          D1                                34   1      1   1   1 2           2 0 XSIG020011          (4122-33-13)
20-0004                          D1                                34   1      2   2   1 1           1 0 XSIG020010          (4122-32-13)
20-0009                          D3                                55   1      1   1   1 2           2 0 XSIG020035          (4122-35-13)
20-0009                          D3                                55   1      2   2   1 1           1 0 LED_B               (4122-28-13)
20-0022                          D2                                51   1      1   1   1 2           2 0 USB_VBUS            (4122-34-13)
20-0022                          D2                                51   1      2   2   1 1           1 0 XSIG020006          (4122-30-13)
20-0038                          D4                                18   1      1   1   1 1           1 0 VCC                 (43-2-13)
20-0038                          D4                                18   1      2   2   1 4           4 0 XSIG020059          (4160-6-13)
20-0038                          D4                                18   1      3   3   1 3           3 0 XSIG020058          (4160-5-13)
20-0038                          D4                                18   1      4   4   1 2           2 0 XSIG020057          (4160-4-13)
30-0010                          Q1                                63   1      1   1   1 3           3 0 XSIG020006          (4122-30-13)
30-0010                          Q1                                63   1      2   2   1 1           1 0 USB_VBUS            (4122-34-13)
30-0010                          Q1                                63   1      3   3   1 2           2 0 VBAT                (4122-29-13)
40-0229                          U5                                31   1      1   1   1 2           2 0 GND                 (43-1-13)
40-0229                          U5                                31   1      2   2   1 5           5 0 XSIG020007          (4122-31-13)
40-0229                          U5                                31   1      3   3   1 1           1 0 XSIG020010          (4122-32-13)
40-0229                          U5                                31   1      4   4   1 3           3 0 VBAT                (4122-29-13)
40-0229                          U5                                31   1      5   5   1 4           4 0 USB_VBUS            (4122-34-13)
40-0287                          U3                                12   1      1   1   1 3           3 0                     (0-0-0)
40-0287                          U3                                12   1      2   2   1 1           1 0 XSIG020006          (4122-30-13)
40-0287                          U3                                12   1      3   3   1 5           5 0 VCC                 (43-2-13)
40-0287                          U3                                12   2      1   1   2 2           2 0 GND                 (43-1-13)
40-0287                          U3                                 0   3      1   1   3 4           4 1                     (0-0-0)
40-0302                          U6                                56   1      1   1   1 4           4 0 RXTX                (4122-26-13)
40-0302                          U6                                56   1      2   2   1 5           5 0 XSIG020041          (4122-36-13)
40-0302                          U6                                56   1      3   3   1 1           1 0 RFO_HF              (4122-25-13)
40-0302                          U6                                56   1      4   4   1 3           3 0 RFI_HF              (4122-24-13)
40-0302                          U6                                56   2      1   1   2 6           6 0 VCC                 (43-2-13)
40-0302                          U6                                56   3      1   1   3 2           2 0 GND                 (43-1-13)
40-0308                          U1                                 7   1      1   1   1 30         31 0 XSIG011292          (4122-13-13)
40-0308                          U1                                 7   1      2   2   1 47         48 0 XSIG011299          (4122-15-13)
40-0308                          U1                                 7   1      3   3   1 1           2 0 XSIG011289          (4122-12-13)
40-0308                          U1                                 7   1      4   4   1 32         33 0 XSIG011288          (4122-11-13)
40-0308                          U1                                 7   1      5   5   1 33         34 0 XSIG011287          (4122-10-13)
40-0308                          U1                                 7   1      6   6   1 46         47 0 XSIG011286          (4122-9-13)
40-0308                          U1                                 7   1      7   7   1 2           3 0 XSIG011327          (4122-20-13)
40-0308                          U1                                 7   1      8   8   1 3           4 0 XSIG011329          (4122-21-13)
40-0308                          U1                                 7   1      9   9   1 4           5 0                     (0-0-0)
40-0308                          U1                                 7   1     10  10   1 5           6 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0308                          U1                                 7   1     11  11   1 6           7 0                     (0-0-0)
40-0308                          U1                                 7   1     12  12   1 7           8 0 SPI_NSS             (4122-1-13)
40-0308                          U1                                 7   1     13  13   1 8           9 0 SPI_MOSI            (4122-4-13)
40-0308                          U1                                 7   1     14  14   1 9          10 0 SPI_MISO            (4122-3-13)
40-0308                          U1                                 7   1     15  15   1 10         11 0 SPI_SCK             (4122-2-13)
40-0308                          U1                                 7   1     16  16   1 11         12 0                     (0-0-0)
40-0308                          U1                                 7   1     17  17   1 12         13 0 DIO5                (4186-6-13)
40-0308                          U1                                 7   1     18  18   1 14         15 0 DIO4                (4186-5-13)
40-0308                          U1                                 7   1     19  19   1 15         16 0 DIO3                (4186-4-13)
40-0308                          U1                                 7   1     20  20   1 16         17 0 DIO2                (4186-3-13)
40-0308                          U1                                 7   1     21  21   1 17         18 0 DIO1                (4186-2-13)
40-0308                          U1                                 7   1     22  22   1 18         19 0 DIO0                (4186-1-13)
40-0308                          U1                                 7   1     23  23   1 19         20 0                     (0-0-0)
40-0308                          U1                                 7   1     24  24   1 20         21 0                     (0-0-0)
40-0308                          U1                                 7   1     25  25   1 21         22 0                     (0-0-0)
40-0308                          U1                                 7   1     26  26   1 22         23 0                     (0-0-0)
40-0308                          U1                                 7   1     27  27   1 23         24 0                     (0-0-0)
40-0308                          U1                                 7   1     28  28   1 24         25 0 RSTn                (3862-1-13)
40-0308                          U1                                 7   1     29  29   1 27         28 0                     (0-0-0)
40-0308                          U1                                 7   1     30  30   1 28         29 0                     (0-0-0)
40-0308                          U1                                 7   1     31  31   1 29         30 0                     (0-0-0)
40-0308                          U1                                 7   1     32  32   1 37         38 0 LED_B               (4122-28-13)
40-0308                          U1                                 7   1     33  33   1 38         39 0 RGB_R               (4160-1-13)
40-0308                          U1                                 7   1     34  34   1 39         40 0 RGB_G               (4160-2-13)
40-0308                          U1                                 7   1     35  35   1 40         41 0 RGB_B               (4160-3-13)
40-0308                          U1                                 7   1     36  36   1 41         42 0                     (0-0-0)
40-0308                          U1                                 7   1     37  37   1 42         43 0                     (0-0-0)
40-0308                          U1                                 7   1     38  38   1 43         44 0                     (0-0-0)
40-0308                          U1                                 7   1     39  39   1 25         26 0 SWCLK               (2907-26-13)
40-0308                          U1                                 7   1     40  40   1 26         27 0 SWDIO               (4122-27-13)
40-0308                          U1                                 7   1     41  41   1 34         35 0 XSIG011321          (4122-18-13)
40-0308                          U1                                 7   1     42  42   1 35         36 0 XSIG011323          (4122-19-13)
40-0308                          U1                                 7   2      1   1   2 48         49 0 VCC                 (43-2-13)
40-0308                          U1                                 7   2      1   1   3 36         37 0 VCC                 (43-2-13)
40-0308                          U1                                 7   2      1   1   4 13         14 0 VCC                 (43-2-13)
40-0308                          U1                                 7   3      1   1   5 EXP         1 0 GND                 (43-1-13)
40-0308                          U1                                 7   3      1   1   6 31         32 0 GND                 (43-1-13)
40-0308                          U1                                 7   3      1   1   7 45         46 0 GND                 (43-1-13)
40-0308                          U1                                 0   4      1   1   8 44         45 1                     (0-0-0)
40-0316                          U2                                 1   1      1   1   1 8           9 0 DIO0                (4186-1-13)
40-0316                          U2                                 1   1      2   2   1 9          10 0 DIO1                (4186-2-13)
40-0316                          U2                                 1   1      3   3   1 10         11 0 DIO2                (4186-3-13)
40-0316                          U2                                 1   1      4   4   1 11         12 0 DIO3                (4186-4-13)
40-0316                          U2                                 1   1      5   5   1 12         13 0 DIO4                (4186-5-13)
40-0316                          U2                                 1   1      6   6   1 13         14 0 DIO5                (4186-6-13)
40-0316                          U2                                 1   1      7   7   1 27         28 0                     (0-0-0)
40-0316                          U2                                 1   1      8   8   1 7           8 0 RSTn                (3862-1-13)
40-0316                          U2                                 1   1      9   9   1 21         22 0 RFI_HF              (4122-24-13)
40-0316                          U2                                 1   1     10  10   1 1           2 0                     (0-0-0)
40-0316                          U2                                 1   1     11  11   1 22         23 0 RFO_HF              (4122-25-13)
40-0316                          U2                                 1   1     12  12   1 28         29 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0316                          U2                                 1   1     13  13   1 20         21 0 RXTX                (4122-26-13)
40-0316                          U2                                 1   1     14  14   1 17         18 0 SPI_MISO            (4122-3-13)
40-0316                          U2                                 1   1     15  15   1 18         19 0 SPI_MOSI            (4122-4-13)
40-0316                          U2                                 1   1     16  16   1 19         20 0 SPI_NSS             (4122-1-13)
40-0316                          U2                                 1   1     17  17   1 16         17 0 SPI_SCK             (4122-2-13)
40-0316                          U2                                 1   1     18  18   1 3           4 0 VCC                 (43-2-13)
40-0316                          U2                                 1   1     19  19   1 24         25 0 VCC                 (43-2-13)
40-0316                          U2                                 1   1     20  20   1 14         15 0 VCC                 (43-2-13)
40-0316                          U2                                 1   1     21  21   1 2           3 0 XSIG011302          (4122-17-13)
40-0316                          U2                                 1   1     22  22   1 4           5 0 XSIG011300          (4122-16-13)
40-0316                          U2                                 1   1     23  23   1 25         26 0                     (0-0-0)
40-0316                          U2                                 1   1     24  24   1 5           6 0 XSIG011338          (4122-22-13)
40-0316                          U2                                 1   1     25  25   1 6           7 0 XSIG011340          (4122-23-13)
40-0316                          U2                                 1   2      1   1   2 26         27 0 GND                 (43-1-13)
40-0316                          U2                                 1   2      1   1   3 23         24 0 GND                 (43-1-13)
40-0316                          U2                                 1   2      1   1   4 15         16 0 GND                 (43-1-13)
40-0316                          U2                                 1   2      1   1   5 PAD         1 0 GND                 (43-1-13)
50-0029                          L2                                23   1      1   1   1 1           1 0 XSIG011286          (4122-9-13)
50-0029                          L2                                23   1      2   2   1 2           2 0 XSIG011297          (4122-14-13)
50-0033                          L1                                13   1      1   1   1 1           1 0 XSIG011297          (4122-14-13)
50-0033                          L1                                13   1      2   2   1 2           2 0 XSIG011299          (4122-15-13)
70-0065                          J2                                53   1      1   1   1 2           2 0                     (0-0-0)
70-0065                          J2                                53   1      2   2   1 3           3 0                     (0-0-0)
70-0065                          J2                                53   1      3   3   1 5           5 0 GND                 (43-1-13)
70-0065                          J2                                53   1      4   4   1 4           4 0                     (0-0-0)
70-0065                          J2                                53   1      5   5   1 6           6 0 GND                 (43-1-13)
70-0065                          J2                                53   1      6   6   1 7           7 0 GND                 (43-1-13)
70-0065                          J2                                53   1      7   7   1 8           8 0 GND                 (43-1-13)
70-0065                          J2                                53   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0065                          J2                                53   1      9   9   1 1           1 0 USB_VBUS            (4122-34-13)
70-0081                          J1                                52   1      1   1   1 1           1 0 VCC                 (43-2-13)
70-0081                          J1                                52   1      2   2   1 2           2 0 SWDIO               (4122-27-13)
70-0081                          J1                                52   1      3   3   1 3           3 0 GND                 (43-1-13)
70-0081                          J1                                52   1      4   4   1 4           4 0 SWCLK               (2907-26-13)
70-0081                          J1                                52   1      5   5   1 5           5 0 GND                 (43-1-13)
70-0081                          J1                                52   1      6   6   1 6           6 0                     (0-0-0)
70-0081                          J1                                52   1      7   7   1 8           8 0                     (0-0-0)
70-0081                          J1                                52   1      8   8   1 9           9 0 GND                 (43-1-13)
70-0081                          J1                                52   1      9   9   1 10         10 0                     (0-0-0)
70-0081                          J1                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0086                          J3                                54   1      1   1   1 MA          1 0 GND                 (43-1-13)
70-0086                          J3                                54   1      2   2   1 MB          2 0 GND                 (43-1-13)
70-0086                          J3                                54   1      3   3   1 1           3 0 VBAT                (4122-29-13)
70-0086                          J3                                54   1      4   4   1 2           4 0 GND                 (43-1-13)
70-0087                          J4                                58   1      1   1   1 FEED        1 0 XSIG020041          (4122-36-13)
70-0087                          J4                                58   1      2   2   1 GND1        2 0 GND                 (43-1-13)
70-0087                          J4                                58   1      3   3   1 GND2        3 0 GND                 (43-1-13)
80-0035                          SW1                               61   1      1   1   1 1           1 0 RSTn                (3862-1-13)
80-0035                          SW1                               61   1      2   2   1 2           2 0 GND                 (43-1-13)
80-0050                          U4                                22   1      1   1   1 1           1 0 XSIG011292          (4122-13-13)
80-0050                          U4                                 0   2      1   1   2 2           2 1                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
80-0063                          PT1                               35   1      1   1   1 1           1 0 SPI_NSS             (4122-1-13)
80-0063                          PT2                               36   1      1   1   1 1           1 0 SPI_SCK             (4122-2-13)
80-0063                          PT3                               37   1      1   1   1 1           1 0 SPI_MISO            (4122-3-13)
80-0063                          PT4                               44   1      1   1   1 1           1 0 SPI_MOSI            (4122-4-13)
80-0063                          PT5                               38   1      1   1   1 1           1 0 DIO0                (4186-1-13)
80-0063                          PT6                               39   1      1   1   1 1           1 0 DIO1                (4186-2-13)
80-0063                          PT7                               40   1      1   1   1 1           1 0 DIO2                (4186-3-13)
80-0063                          PT8                               41   1      1   1   1 1           1 0 DIO3                (4186-4-13)
80-0063                          PT9                               42   1      1   1   1 1           1 0 DIO4                (4186-5-13)
80-0063                          PT10                              43   1      1   1   1 1           1 0 DIO5                (4186-6-13)
80-0063                          PT11                              45   1      1   1   1 1           1 0 RXTX                (4122-26-13)
81-0002                          QZ1                               30   1      1   1   1 1           1 0 XSIG011327          (4122-20-13)
81-0002                          QZ1                               30   1      2   2   1 2           2 0 XSIG011329          (4122-21-13)
83-0025                          QZ2                               32   1      1   1   1 1           1 0 XSIG011321          (4122-18-13)
83-0025                          QZ2                               32   1      2   2   1 3           3 0 XSIG011323          (4122-19-13)
83-0025                          QZ2                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ2                                0   2      1   1   3 4           4 1                     (0-0-0)
83-0025                          QZ3                               33   1      1   1   1 1           1 0 XSIG011338          (4122-22-13)
83-0025                          QZ3                               33   1      2   2   1 3           3 0 XSIG011340          (4122-23-13)
83-0025                          QZ3                                0   2      1   1   2 2           2 1                     (0-0-0)
83-0025                          QZ3                                0   2      1   1   3 4           4 1                     (0-0-0)
